DAUID,POP2021,POPDENS,TOTLOWINC
24660899,496,5720.9,85
24660900,655,8419,65
24660901,539,11517.1,60
24660902,580,6553.7,115
24660903,458,12651.9,35
24660904,415,12134.5,65
24660905,684,12324.3,105
24660906,410,10485.9,45
24660907,341,10894.6,50
24660908,759,6640.4,115
24660909,490,10986.5,85
24660910,469,13633.7,55
24660911,452,14303.8,65
24660912,532,12547.2,85
24660913,365,6576.6,40
24660914,384,8347.8,85
24660915,798,6768.4,135
24660916,440,6676.8,95
24660917,683,1419.4,70
24660918,495,8418.4,55
24660919,540,3884.9,70
24660920,438,2502.9,100
24660921,650,4748,240
24660922,537,7256.8,135
24660923,687,3022.4,150
24660924,797,5271.2,90
24660925,695,21319,155
24660926,694,6326.3,95
24660927,674,8219.5,95
24660928,396,7780,70
24660929,642,5742.4,90
24660930,323,3061.6,30
24660931,507,2351.6,95
24660932,398,3364.3,30
24660933,445,3101,80
24660934,489,7925.4,75
24660935,602,10580,145
24660936,434,10987.3,100
24660937,419,11385.9,50
24660938,595,11121.5,55
24660939,368,6930.3,65
24660940,634,1959.2,170
24660941,323,12007.4,45
24660942,785,12401.3,255
24660943,328,12615.4,60
24660944,570,2867.2,90
24660945,418,6897.7,60
24660946,523,5245.7,60
24660947,421,9929.2,45
24660948,770,10307.9,140
24660949,596,7268.3,80
24660950,616,10476.2,70
24660951,535,15070.4,55
24660952,820,2223.4,215
24660953,471,9401.2,25
24660954,452,2804,40
24660955,796,3958.2,135
24660956,540,9836.1,55
24660957,402,8357.6,55
24660958,527,5559.1,65
24660959,368,6583.2,45
24660960,466,7938.7,40
24660961,546,7924.5,60
24660962,461,10525.1,45
24660963,434,16821.7,125
24660964,561,4869.8,30
24660965,485,2888.6,70
24660966,614,2328.4,15
24660967,758,3758.1,75
24660968,992,8051.9,250
24660969,639,14106,50
24660970,516,12285.7,80
24660971,449,9492.6,45
24660972,319,12460.9,60
24660973,397,12724.4,55
24660974,362,10342.9,55
24660975,630,12625.3,95
24660976,492,5239.6,135
24660977,517,8867.9,80
24660978,530,6287.1,80
24660979,501,8836,80
24660980,425,10925.4,50
24660981,945,1092.1,140
24660982,431,16770.4,85
24660983,664,11669.6,125
24660984,302,1439.5,10
24660985,414,2747.2,30
24660986,412,9927.7,65
24660987,451,9337.5,70
24660988,343,9527.8,50
24660989,351,9093.3,50
24660990,576,5714.3,85
24660991,641,6775.9,65
24660992,789,9862.5,110
24660993,519,2172.5,80
24660994,566,14438.8,55
24660995,263,9962.1,15
24660997,953,12589.2,205
24660998,685,12123.9,170
24660999,521,10922.4,75
24661000,492,5942,85
24661001,548,12597.7,135
24661002,858,11547.8,160
24661003,564,10722.4,100
24661004,532,9655.2,100
24661005,466,8426.8,115
24661006,313,9287.8,40
24661007,474,9895.6,70
24661008,354,15458.5,95
24661009,598,12008,100
24661010,606,9439.3,85
24661011,436,7744.2,55
24661012,506,10519.8,135
24661013,641,14181.4,80
24661014,628,13110.6,100
24661015,336,10434.8,70
24661016,626,11381.8,145
24661017,671,11353.6,130
24661018,768,11907,70
24661019,557,12377.8,95
24661020,626,10178.9,100
24661021,269,7707.7,40
24661022,398,5257.6,65
24661023,474,6139.9,80
24661024,482,5320.1,80
24661025,497,6893.2,60
24661026,695,10190.6,110
24661027,535,10721.4,105
24661028,480,11764.7,90
24661029,422,12411.8,45
24661030,854,19148,210
24661031,352,15855.9,55
24661032,740,7605.3,150
24661033,373,15672.3,80
24661034,590,13532.1,165
24661035,455,12603.9,85
24661036,515,9279.3,85
24661037,439,12436.3,50
24661038,467,12794.5,85
24661039,455,6603.8,140
24661040,523,7492.8,75
24661041,542,11731.6,75
24661042,569,15173.3,85
24661043,773,13705.7,115
24661044,587,13683,90
24661045,526,11714.9,75
24661046,397,796.5,75
24661047,747,631,140
24661048,1443,10329.3,215
24661049,405,14727.3,90
24661050,536,7444.4,95
24661051,600,8403.4,150
24661052,492,9781.3,65
24661053,500,14534.9,80
24661054,873,5456.3,105
24661055,1282,5935.2,165
24661058,662,8004.8,130
24661059,400,21621.6,90
24661060,634,7836.8,110
24661062,959,17404.7,150
24661063,554,31657.1,160
24661066,449,7904.9,85
24661067,417,7214.5,55
24661068,592,7089.8,65
24661069,641,6481.3,75
24661070,583,5205.4,55
24661071,421,6349.9,35
24661072,537,3107.6,45
24661073,465,6818.2,40
24661080,1305,105241.9,610
24661081,576,32727.3,205
24661082,793,61000,305
24661083,451,12156.3,145
24661084,608,32340.4,215
24661086,160,2457.8,
24661087,585,14552.2,265
24661093,419,16561.3,140
24661094,807,63046.9,375
24661099,394,13824.6,70
24661100,770,6525.4,185
24661102,915,12942,95
24661103,576,23510.2,215
24661104,1572,7201.1,710
24661105,377,17214.6,155
24661106,5477,15067.4,2625
24661108,446,7533.8,85
24661109,557,18881.4,160
24661110,549,10785.9,75
24661111,579,18737.9,200
24661113,679,16601.5,140
24661114,616,11961.2,110
24661116,573,17576.7,175
24661117,521,11400.4,215
24661118,502,9561.9,170
24661119,842,10318.6,115
24661120,850,9918.3,40
24661121,655,10446.6,100
24661122,585,13448.3,225
24661123,544,16190.5,210
24661124,2375,7748.8,365
24661125,1028,6253,235
24661126,704,10764.5,160
24661127,702,8830.2,110
24661128,594,12222.2,110
24661129,695,8475.6,130
24661130,505,12817.3,70
24661131,503,14495.7,105
24661132,502,11674.4,80
24661133,395,11549.7,55
24661134,507,4095.3,105
24661135,768,9795.9,140
24661136,569,10576.2,60
24661137,677,15929.4,140
24661138,449,11395.9,45
24661139,719,15942.4,65
24661140,529,12245.4,80
24661141,518,17441.1,70
24661142,462,7911,55
24661143,500,17301,95
24661144,777,18456.1,135
24661145,312,14786.7,45
24661146,611,9935,115
24661147,622,16072.4,130
24661148,594,9041.1,160
24661149,563,11560.6,120
24661150,691,11091.5,125
24661151,366,10892.9,65
24661152,511,15208.3,90
24661153,503,15105.1,115
24661154,417,13539,80
24661155,482,22212,90
24661156,491,21919.6,100
24661157,420,19354.8,105
24661158,430,18454.9,75
24661159,363,14069.8,40
24661160,429,15376.3,60
24661161,389,10429,60
24661162,641,12897.4,105
24661163,735,17583.7,135
24661164,494,17152.8,175
24661165,536,10572,50
24661166,597,4853.7,50
24661167,428,15070.4,85
24661168,416,14394.5,80
24661169,691,14102,85
24661170,548,23930.1,70
24661171,618,15527.6,110
24661172,685,10316.3,60
24661173,401,13972.1,45
24661174,548,21158.3,95
24661175,408,17435.9,70
24661176,486,22396.3,100
24661177,498,22432.4,90
